# Time (a.u.)	Order parameter |r|
0.1980	1.6966818e-01
0.1990	1.7084146e-01
0.2000	1.7201703e-01
0.2010	1.7319484e-01
0.2020	1.7437489e-01
0.2030	1.7555715e-01
0.2040	1.7674158e-01
0.2050	1.7792818e-01
0.2060	1.7911692e-01
0.2070	1.8030776e-01
0.2080	1.8150069e-01
0.2090	1.8269567e-01
0.2100	1.8389268e-01
0.2110	1.8509169e-01
0.2120	1.8629267e-01
0.2130	1.8749560e-01
0.2140	1.8870043e-01
0.2150	1.8990715e-01
0.2160	1.9111571e-01
0.2170	1.9232609e-01
0.2180	1.9353825e-01
0.2190	1.9475215e-01
0.2200	1.9596777e-01
0.2210	1.9718507e-01
0.2220	1.9840401e-01
0.2230	1.9962456e-01
0.2240	2.0084667e-01
0.2250	2.0207031e-01
0.2260	2.0329545e-01
0.2270	2.0452203e-01
0.2280	2.0575003e-01
0.2290	2.0697939e-01
0.2300	2.0821009e-01
0.2310	2.0944208e-01
0.2320	2.1067531e-01
0.2330	2.1190974e-01
0.2340	2.1314534e-01
0.2350	2.1438205e-01
0.2360	2.1561984e-01
0.2370	2.1685866e-01
0.2380	2.1809846e-01
0.2390	2.1933920e-01
0.2400	2.2058084e-01
0.2410	2.2182333e-01
0.2420	2.2306662e-01
0.2430	2.2431067e-01
0.2440	2.2555543e-01
0.2450	2.2680086e-01
0.2460	2.2804691e-01
0.2470	2.2929353e-01
0.2480	2.3054068e-01
0.2490	2.3178832e-01
0.2500	2.3303639e-01
0.2510	2.3428486e-01
0.2520	2.3553367e-01
0.2530	2.3678279e-01
0.2540	2.3803215e-01
0.2550	2.3928173e-01
0.2560	2.4053148e-01
0.2570	2.4178135e-01
0.2580	2.4303130e-01
0.2590	2.4428128e-01
0.2600	2.4553126e-01
0.2610	2.4678118e-01
0.2620	2.4803101e-01
0.2630	2.4928071e-01
0.2640	2.5053023e-01
0.2650	2.5177954e-01
0.2660	2.5302858e-01
0.2670	2.5427733e-01
0.2680	2.5552575e-01
0.2690	2.5677379e-01
0.2700	2.5802141e-01
0.2710	2.5926859e-01
0.2720	2.6051528e-01
0.2730	2.6176144e-01
0.2740	2.6300704e-01
0.2750	2.6425205e-01
0.2760	2.6549643e-01
0.2770	2.6674015e-01
0.2780	2.6798317e-01
0.2790	2.6922545e-01
0.2800	2.7046698e-01
0.2810	2.7170771e-01
0.2820	2.7294762e-01
0.2830	2.7418667e-01
0.2840	2.7542483e-01
0.2850	2.7666208e-01
0.2860	2.7789839e-01
0.2870	2.7913372e-01
0.2880	2.8036805e-01
0.2890	2.8160136e-01
0.2900	2.8283361e-01
0.2910	2.8406479e-01
0.2920	2.8529486e-01
0.2930	2.8652380e-01
0.2940	2.8775158e-01
0.2950	2.8897819e-01
0.2960	2.9020359e-01
0.2970	2.9142778e-01
0.2980	2.9265071e-01
0.2990	2.9387238e-01
0.3000	2.9509275e-01
0.3010	2.9631182e-01
0.3020	2.9752955e-01
0.3030	2.9874594e-01
0.3040	2.9996095e-01
0.3050	3.0117458e-01
0.3060	3.0238680e-01
0.3070	3.0359759e-01
0.3080	3.0480694e-01
0.3090	3.0601483e-01
0.3100	3.0722125e-01
0.3110	3.0842617e-01
0.3120	3.0962958e-01
0.3130	3.1083147e-01
0.3140	3.1203182e-01
0.3150	3.1323061e-01
0.3160	3.1442784e-01
0.3170	3.1562349e-01
0.3180	3.1681755e-01
0.3190	3.1800999e-01
0.3200	3.1920082e-01
0.3210	3.2039002e-01
0.3220	3.2157758e-01
0.3230	3.2276348e-01
0.3240	3.2394772e-01
0.3250	3.2513028e-01
0.3260	3.2631115e-01
0.3270	3.2749034e-01
0.3280	3.2866782e-01
0.3290	3.2984358e-01
0.3300	3.3101763e-01
