# Coupling strength K	Order parameter |r|
5.000000e-03	4.074103e-02
5.000000e-03	4.113803e-02
1.000000e-02	1.044086e-02
1.000000e-02	1.073717e-02
1.000000e-02	1.164951e-02
1.000000e-02	1.167295e-02
1.000000e-02	1.221197e-02
1.000000e-02	1.288998e-02
1.000000e-02	1.311978e-02
1.000000e-02	1.398508e-02
1.000000e-02	1.420997e-02
1.000000e-02	1.464906e-02
1.000000e-02	1.555563e-02
1.000000e-02	1.592652e-02
1.000000e-02	1.616904e-02
1.000000e-02	1.688178e-02
1.000000e-02	1.761672e-02
1.000000e-02	1.794303e-02
1.000000e-02	1.815038e-02
1.000000e-02	1.894805e-02
1.000000e-02	1.932914e-02
1.000000e-02	1.984619e-02
1.000000e-02	1.988679e-02
1.000000e-02	1.996837e-02
1.000000e-02	2.013162e-02
1.000000e-02	2.039054e-02
1.000000e-02	2.039961e-02
1.000000e-02	2.044745e-02
1.000000e-02	2.114478e-02
1.000000e-02	2.131128e-02
1.000000e-02	2.141399e-02
1.000000e-02	2.155986e-02
1.000000e-02	2.195432e-02
1.000000e-02	2.197132e-02
1.000000e-02	2.207180e-02
1.000000e-02	2.260011e-02
1.000000e-02	2.265606e-02
1.000000e-02	2.266143e-02
1.000000e-02	2.302416e-02
1.000000e-02	2.305134e-02
1.000000e-02	2.324017e-02
1.000000e-02	2.324816e-02
1.000000e-02	2.328089e-02
1.000000e-02	2.386454e-02
1.000000e-02	2.407567e-02
1.000000e-02	2.547975e-02
1.000000e-02	2.556284e-02
1.000000e-02	2.567085e-02
1.000000e-02	2.705005e-02
1.000000e-02	2.735087e-02
1.000000e-02	2.806150e-02
1.000000e-02	2.848234e-02
1.000000e-02	2.888660e-02
1.000000e-02	2.981883e-02
1.000000e-02	3.026346e-02
1.000000e-02	3.093557e-02
1.000000e-02	3.102929e-02
1.000000e-02	3.146969e-02
1.000000e-02	3.209140e-02
1.000000e-02	3.249593e-02
1.000000e-02	3.298870e-02
1.000000e-02	3.333486e-02
1.000000e-02	3.370911e-02
1.000000e-02	3.398105e-02
1.000000e-02	3.402246e-02
1.000000e-02	3.424385e-02
1.000000e-02	3.443074e-02
1.000000e-02	3.458669e-02
1.000000e-02	3.468177e-02
1.000000e-02	3.473347e-02
1.000000e-02	3.725450e-02
1.000000e-02	4.057408e-02
1.000000e-02	4.393140e-02
1.000000e-02	4.728242e-02
1.000000e-02	5.058731e-02
1.000000e-02	5.380930e-02
1.000000e-02	5.691399e-02
1.000000e-02	5.791359e-02
1.000000e-02	5.986891e-02
1.000000e-02	6.047617e-02
1.000000e-02	6.264330e-02
1.000000e-02	6.294793e-02
1.000000e-02	6.520816e-02
1.000000e-02	6.529096e-02
1.000000e-02	6.746785e-02
1.000000e-02	6.753633e-02
1.000000e-02	6.944284e-02
1.000000e-02	6.960280e-02
1.000000e-02	7.118276e-02
1.000000e-02	7.138502e-02
1.000000e-02	7.265785e-02
1.000000e-02	7.286329e-02
1.000000e-02	7.384246e-02
1.000000e-02	7.402123e-02
1.000000e-02	7.471554e-02
1.000000e-02	7.484618e-02
1.000000e-02	7.526092e-02
1.000000e-02	7.532962e-02
1.000000e-02	7.546758e-02
1.000000e-02	9.327700e-03
1.000000e-02	9.598709e-03
1.000000e-02	9.724596e-03
1.500000e-02	1.045809e-02
1.500000e-02	1.087242e-02
1.500000e-02	1.087702e-02
1.500000e-02	1.161253e-02
1.500000e-02	1.264156e-02
1.500000e-02	1.292375e-02
1.500000e-02	1.380303e-02
1.500000e-02	1.400881e-02
1.500000e-02	1.404817e-02
1.500000e-02	1.458429e-02
1.500000e-02	1.465531e-02
1.500000e-02	1.466939e-02
1.500000e-02	1.494420e-02
1.500000e-02	1.502131e-02
1.500000e-02	1.570467e-02
1.500000e-02	1.572108e-02
1.500000e-02	1.679776e-02
1.500000e-02	1.704563e-02
1.500000e-02	1.710098e-02
1.500000e-02	1.726405e-02
1.500000e-02	1.729577e-02
1.500000e-02	1.778273e-02
1.500000e-02	1.854361e-02
1.500000e-02	1.912519e-02
1.500000e-02	1.916472e-02
1.500000e-02	1.971426e-02
1.500000e-02	2.009495e-02
1.500000e-02	2.082928e-02
1.500000e-02	2.107367e-02
1.500000e-02	2.119633e-02
1.500000e-02	2.162600e-02
1.500000e-02	2.246939e-02
1.500000e-02	2.293651e-02
1.500000e-02	2.308720e-02
1.500000e-02	2.328127e-02
1.500000e-02	2.373514e-02
1.500000e-02	2.444704e-02
1.500000e-02	2.471012e-02
1.500000e-02	2.500684e-02
1.500000e-02	2.533145e-02
1.500000e-02	2.568742e-02
1.500000e-02	2.639471e-02
1.500000e-02	2.644984e-02
1.500000e-02	2.680016e-02
1.500000e-02	2.727591e-02
1.500000e-02	2.728492e-02
1.500000e-02	2.778444e-02
1.500000e-02	2.799228e-02
1.500000e-02	2.864494e-02
1.500000e-02	2.893651e-02
1.500000e-02	2.905696e-02
1.500000e-02	2.927165e-02
1.500000e-02	2.939039e-02
1.500000e-02	2.950510e-02
1.500000e-02	3.003238e-02
1.500000e-02	3.058451e-02
1.500000e-02	3.062733e-02
1.500000e-02	3.093433e-02
1.500000e-02	3.094251e-02
1.500000e-02	3.106161e-02
1.500000e-02	3.116776e-02
1.500000e-02	3.147910e-02
1.500000e-02	3.185255e-02
1.500000e-02	3.194815e-02
1.500000e-02	3.219711e-02
1.500000e-02	3.227893e-02
1.500000e-02	3.227944e-02
1.500000e-02	3.252719e-02
1.500000e-02	3.285606e-02
1.500000e-02	3.298773e-02
1.500000e-02	3.312386e-02
1.500000e-02	3.319547e-02
1.500000e-02	3.327029e-02
1.500000e-02	3.353482e-02
1.500000e-02	3.372061e-02
1.500000e-02	3.390847e-02
1.500000e-02	3.412706e-02
1.500000e-02	3.419273e-02
1.500000e-02	3.469437e-02
1.500000e-02	3.479193e-02
1.500000e-02	3.574621e-02
1.500000e-02	3.616536e-02
1.500000e-02	3.667532e-02
1.500000e-02	3.724350e-02
1.500000e-02	3.746354e-02
1.500000e-02	3.803114e-02
1.500000e-02	3.809028e-02
1.500000e-02	3.853336e-02
1.500000e-02	3.853809e-02
1.500000e-02	3.877012e-02
1.500000e-02	3.877850e-02
1.500000e-02	6.709543e-03
1.500000e-02	6.877338e-03
1.500000e-02	6.939058e-03
1.500000e-02	7.253622e-03
1.500000e-02	7.555680e-03
1.500000e-02	8.297313e-03
1.500000e-02	8.566032e-03
1.500000e-02	8.856568e-03
1.500000e-02	9.009126e-03
2.000000e-02	1.423642e-02
2.000000e-02	1.424572e-02
2.000000e-02	1.456261e-02
2.000000e-02	1.463779e-02
2.000000e-02	1.514451e-02
2.000000e-02	1.541294e-02
2.000000e-02	1.589141e-02
2.000000e-02	1.652697e-02
2.000000e-02	1.671870e-02
2.000000e-02	1.755629e-02
2.000000e-02	1.790711e-02
2.000000e-02	1.835048e-02
2.000000e-02	1.906260e-02
2.000000e-02	1.947016e-02
2.000000e-02	1.966688e-02
2.000000e-02	2.014848e-02
2.000000e-02	2.050189e-02
2.000000e-02	2.059253e-02
2.000000e-02	2.062992e-02
2.000000e-02	2.065580e-02
2.000000e-02	2.071713e-02
2.000000e-02	2.073000e-02
2.000000e-02	2.080755e-02
2.000000e-02	2.084353e-02
2.000000e-02	2.086078e-02
2.000000e-02	2.087158e-02
2.000000e-02	2.113479e-02
2.000000e-02	2.128828e-02
2.000000e-02	2.194604e-02
2.000000e-02	2.282725e-02
2.000000e-02	2.287247e-02
2.000000e-02	2.408049e-02
2.000000e-02	2.448292e-02
2.000000e-02	2.556858e-02
2.000000e-02	2.604604e-02
2.000000e-02	2.680120e-02
2.000000e-02	2.732307e-02
2.000000e-02	2.746893e-02
2.000000e-02	2.822602e-02
2.000000e-02	2.871117e-02
2.000000e-02	2.932147e-02
2.000000e-02	2.939790e-02
2.000000e-02	2.973912e-02
2.000000e-02	3.030035e-02
2.000000e-02	3.052549e-02
2.000000e-02	3.092126e-02
2.000000e-02	3.104912e-02
2.000000e-02	3.125343e-02
2.000000e-02	3.129486e-02
2.000000e-02	3.153565e-02
2.000000e-02	3.393453e-02
2.000000e-02	3.648577e-02
2.000000e-02	3.915694e-02
2.000000e-02	4.191606e-02
2.000000e-02	4.473194e-02
2.000000e-02	4.757424e-02
2.000000e-02	5.041352e-02
2.000000e-02	5.322123e-02
2.000000e-02	5.596971e-02
2.000000e-02	5.863220e-02
2.000000e-02	6.118293e-02
2.000000e-02	6.359730e-02
2.000000e-02	6.510441e-02
2.000000e-02	6.514762e-02
2.000000e-02	6.518378e-02
2.000000e-02	6.532506e-02
2.000000e-02	6.536836e-02
2.000000e-02	6.563606e-02
2.000000e-02	6.564209e-02
2.000000e-02	6.585210e-02
2.000000e-02	6.596124e-02
2.000000e-02	6.609757e-02
2.000000e-02	6.631607e-02
2.000000e-02	6.667186e-02
2.000000e-02	6.668414e-02
2.000000e-02	6.700027e-02
2.000000e-02	6.727436e-02
2.000000e-02	6.738883e-02
2.000000e-02	6.746952e-02
2.000000e-02	6.792592e-02
2.000000e-02	6.819387e-02
2.000000e-02	6.907770e-02
2.000000e-02	6.979955e-02
2.000000e-02	7.001593e-02
2.000000e-02	7.098218e-02
2.000000e-02	7.145652e-02
2.000000e-02	7.194887e-02
2.000000e-02	7.288363e-02
2.000000e-02	7.288777e-02
2.000000e-02	7.377054e-02
2.000000e-02	7.407143e-02
2.000000e-02	7.456910e-02
2.000000e-02	7.501468e-02
2.000000e-02	7.525611e-02
2.000000e-02	7.571259e-02
2.000000e-02	7.580534e-02
2.000000e-02	7.616894e-02
2.000000e-02	7.619221e-02
2.000000e-02	7.639201e-02
2.000000e-02	7.639432e-02
2.500000e-02	1.166487e-02
2.500000e-02	1.179114e-02
2.500000e-02	1.371704e-02
2.500000e-02	1.407077e-02
2.500000e-02	1.565249e-02
2.500000e-02	1.627587e-02
2.500000e-02	1.745653e-02
2.500000e-02	1.839333e-02
2.500000e-02	1.911534e-02
2.500000e-02	2.041169e-02
2.500000e-02	2.061635e-02
2.500000e-02	2.194849e-02
2.500000e-02	2.232135e-02
2.500000e-02	2.233240e-03
2.500000e-02	2.310256e-02
2.500000e-02	2.407147e-02
2.500000e-02	2.411473e-02
2.500000e-02	2.485037e-02
2.500000e-02	2.543682e-02
2.500000e-02	2.578636e-02
2.500000e-02	2.583076e-02
2.500000e-02	2.603443e-02
2.500000e-02	2.603856e-03
2.500000e-02	2.728905e-04
2.500000e-02	2.733289e-02
2.500000e-02	2.875305e-02
2.500000e-02	3.004758e-02
2.500000e-02	3.121911e-02
2.500000e-02	3.227202e-02
2.500000e-02	3.321235e-02
2.500000e-02	3.404767e-02
2.500000e-02	3.478696e-02
2.500000e-02	3.544061e-02
2.500000e-02	3.602023e-02
2.500000e-02	3.653870e-02
2.500000e-02	3.700995e-02
2.500000e-02	3.744880e-02
2.500000e-02	3.787067e-02
2.500000e-02	3.829119e-02
2.500000e-02	3.872567e-02
2.500000e-02	3.918847e-02
2.500000e-02	3.969242e-02
2.500000e-02	4.024819e-02
