#i k1 k2 k
399 4 0 4
400 2 0 2
401 0 0 0
402 0 0 0
403 1 0 1
404 0 0 0
405 0 0 0
406 0 0 0
407 1 0 1
408 2 0 2
409 0 0 0
410 2 2 4
411 0 0 0
412 7 0 7
413 1 0 1
414 1 1 2
415 5 1 6
416 0 0 0
417 0 0 0
418 0 0 0
419 0 2 2
420 1 0 1
421 1 0 1
422 1 1 2
423 0 0 0
424 0 0 0
425 0 0 0
426 1 0 1
427 2 0 2
428 2 3 5
429 0 1 1
430 0 0 0
431 0 0 0
432 0 0 0
433 0 0 0
434 0 0 0
435 0 0 0
436 0 0 0
437 0 1 1
438 2 1 3
439 0 2 2
440 0 0 0
441 1 1 2
442 0 0 0
443 4 0 4
444 1 0 1
445 0 0 0
446 0 1 1
447 0 0 0
448 0 0 0
449 0 0 0
450 0 1 1
451 0 0 0
452 0 0 0
453 0 2 2
454 2 0 2
455 1 0 1
456 0 0 0
457 2 0 2
458 0 0 0
459 0 1 1
460 0 1 1
461 7 0 7
462 1 0 1
463 3 0 3
464 1 0 1
465 1 2 3
466 0 0 0
467 0 0 0
468 0 0 0
469 0 1 1
470 0 0 0
471 0 0 0
472 0 1 1
473 0 0 0
474 1 1 2
475 0 0 0
476 0 0 0
477 4 0 4
478 0 0 0
479 0 0 0
480 2 1 3
481 3 0 3
482 0 0 0
483 0 1 1
484 1 1 2
485 0 0 0
486 0 0 0
487 1 0 1
488 0 0 0
489 0 0 0
490 0 0 0
491 4 0 4
492 2 0 2
493 0 0 0
494 1 1 2
495 4 0 4
496 0 0 0
497 1 0 1
498 0 0 0
499 1 1 2
500 0 1 1
501 0 0 0
502 0 0 0
503 2 1 3
504 0 0 0
505 0 0 0
506 0 0 0
507 1 0 1
508 6 0 6
509 0 1 1
510 0 0 0
511 0 1 1
512 4 0 4
513 0 0 0
514 0 0 0
515 0 0 0
516 6 0 6
517 3 0 3
518 0 0 0
519 0 1 1
520 0 0 0
521 4 0 4
522 1 0 1
523 2 0 2
524 0 0 0
525 0 0 0
526 2 0 2
527 0 0 0
528 1 1 2
529 1 0 1
530 0 0 0
531 3 1 4
532 0 1 1
533 0 0 0
534 2 0 2
535 5 0 5
536 1 0 1
537 0 0 0
538 0 0 0
539 0 0 0
540 0 0 0
541 3 0 3
542 0 0 0
543 5 0 5
544 1 1 2
545 2 0 2
546 0 0 0
547 0 0 0
548 1 0 1
549 0 0 0
550 0 0 0
551 0 0 0
552 0 1 1
553 0 0 0
554 0 0 0
555 0 0 0
556 0 0 0
557 1 0 1
558 0 0 0
559 0 0 0
560 0 0 0
561 0 0 0
562 2 0 2
563 2 0 2
564 1 0 1
565 0 0 0
566 1 0 1
567 2 0 2
568 0 1 1
569 0 0 0
570 0 0 0
571 0 1 1
572 0 0 0
573 0 0 0
574 0 0 0
575 0 1 1
576 2 0 2
577 3 0 3
578 0 0 0
579 1 0 1
580 0 0 0
581 1 0 1
582 0 0 0
583 0 0 0
584 0 0 0
585 0 0 0
586 0 0 0
587 0 0 0
588 0 1 1
589 1 0 1
590 3 0 3
591 1 0 1
592 0 1 1
593 2 0 2
594 0 1 1
595 0 0 0
596 0 0 0
597 1 0 1
598 0 1 1
599 6 0 6
600 3 0 3
601 2 1 3
602 0 0 0
603 0 0 0
604 0 0 0
605 0 0 0
606 0 1 1
607 0 0 0
608 0 0 0
609 0 0 0
610 0 0 0
611 0 0 0
612 2 0 2
613 0 0 0
614 0 0 0
615 0 0 0
616 0 1 1
617 0 0 0
618 0 0 0
619 0 0 0
620 0 0 0
621 0 1 1
622 4 0 4
623 2 0 2
624 0 0 0
625 0 0 0
626 1 0 1
627 2 2 4
628 2 0 2
629 1 0 1
630 0 0 0
631 0 0 0
632 0 0 0
633 0 0 0
634 1 0 1
635 0 0 0
636 0 0 0
637 0 0 0
638 0 0 0
639 2 0 2
640 1 0 1
641 0 0 0
642 0 0 0
643 2 0 2
644 0 0 0
645 0 0 0
646 0 1 1
647 0 1 1
648 1 0 1
649 0 0 0
650 0 1 1
651 1 1 2
652 0 1 1
653 0 0 0
654 0 0 0
655 0 0 0
656 0 0 0
657 0 1 1
658 0 0 0
659 2 0 2
660 1 0 1
661 0 0 0
662 1 0 1
663 0 0 0
664 1 0 1
665 0 0 0
666 0 0 0
667 0 0 0
668 2 0 2
669 0 0 0
670 0 0 0
671 0 0 0
672 0 0 0
673 2 0 2
674 0 1 1
675 0 0 0
676 0 0 0
677 0 0 0
678 0 0 0
679 0 0 0
680 2 0 2
681 0 0 0
682 0 0 0
683 0 0 0
684 2 0 2
685 0 0 0
686 0 0 0
687 0 0 0
688 2 0 2
689 0 0 0
690 0 0 0
691 0 0 0
692 0 0 0
693 1 0 1
694 0 0 0
695 0 0 0
696 0 0 0
697 0 0 0
698 0 0 0
699 0 0 0
700 0 0 0
701 0 1 1
702 0 1 1
703 0 0 0
704 0 0 0
705 1 0 1
706 2 0 2
707 1 1 2
708 0 0 0
709 0 0 0
