# Time (a.u.)	Order parameter |r|
"g(w): std dev = 0.262"
0.2260	1.3148314e-01
0.2270	1.3207162e-01
0.2280	1.3266077e-01
0.2290	1.3325058e-01
0.2300	1.3384105e-01
0.2310	1.3443218e-01
0.2320	1.3502395e-01
0.2330	1.3561638e-01
0.2340	1.3620945e-01
0.2350	1.3680316e-01
0.2360	1.3739751e-01
0.2370	1.3799249e-01
0.2380	1.3858810e-01
0.2390	1.3918434e-01
0.2400	1.3978120e-01
0.2410	1.4037868e-01
0.2420	1.4097679e-01
0.2430	1.4157550e-01
0.2440	1.4217483e-01
0.2450	1.4277477e-01
0.2460	1.4337531e-01
0.2470	1.4397645e-01
0.2480	1.4457819e-01
0.2490	1.4518053e-01
0.2500	1.4578347e-01
0.2510	1.4638699e-01
0.2520	1.4699111e-01
0.2530	1.4759581e-01
0.2540	1.4820109e-01
0.2550	1.4880695e-01
0.2560	1.4941339e-01
0.2570	1.5002041e-01
0.2580	1.5062800e-01
0.2590	1.5123616e-01
0.2600	1.5184489e-01
0.2610	1.5245418e-01
0.2620	1.5306404e-01
0.2630	1.5367446e-01
0.2640	1.5428543e-01
0.2650	1.5489697e-01
0.2660	1.5550906e-01
0.2670	1.5612170e-01
0.2680	1.5673489e-01
0.2690	1.5734863e-01
0.2700	1.5796291e-01
0.2710	1.5857775e-01
0.2720	1.5919312e-01
0.2730	1.5980903e-01
0.2740	1.6042548e-01
0.2750	1.6104247e-01
0.2760	1.6166000e-01
0.2770	1.6227805e-01
0.2780	1.6289664e-01
0.2790	1.6351576e-01
0.2800	1.6413541e-01
0.2810	1.6475558e-01
0.2820	1.6537628e-01
0.2830	1.6599750e-01
0.2840	1.6661924e-01
0.2850	1.6724151e-01
0.2860	1.6786429e-01
0.2870	1.6848759e-01
0.2880	1.6911141e-01
0.2890	1.6973574e-01
0.2900	1.7036059e-01
0.2910	1.7098594e-01
0.2920	1.7161181e-01
0.2930	1.7223819e-01
0.2940	1.7286508e-01
0.2950	1.7349247e-01
0.2960	1.7412037e-01
0.2970	1.7474878e-01
0.2980	1.7537769e-01
0.2990	1.7600710e-01
0.3000	1.7663702e-01
0.3010	1.7726743e-01
0.3020	1.7789835e-01
0.3030	1.7852976e-01
0.3040	1.7916168e-01
0.3050	1.7979409e-01
0.3060	1.8042700e-01
0.3070	1.8106040e-01
0.3080	1.8169430e-01
0.3090	1.8232869e-01
0.3100	1.8296358e-01
0.3110	1.8359896e-01
0.3120	1.8423483e-01
0.3130	1.8487120e-01
0.3140	1.8550805e-01
0.3150	1.8614539e-01
0.3160	1.8678323e-01
0.3170	1.8742155e-01
0.3180	1.8806037e-01
0.3190	1.8869967e-01
0.3200	1.8933946e-01
0.3210	1.8997973e-01
0.3220	1.9062049e-01
0.3230	1.9126174e-01
0.3240	1.9190348e-01
0.3250	1.9254570e-01
0.3260	1.9318841e-01
0.3270	1.9383160e-01
0.3280	1.9447528e-01
0.3290	1.9511944e-01
0.3300	1.9576408e-01
0.3310	1.9640921e-01
0.3320	1.9705483e-01
0.3330	1.9770092e-01
0.3340	1.9834751e-01
0.3350	1.9899457e-01
0.3360	1.9964212e-01
0.3370	2.0029015e-01
0.3380	2.0093866e-01
0.3390	2.0158766e-01
0.3400	2.0223714e-01
0.3410	2.0288710e-01
0.3420	2.0353755e-01
0.3430	2.0418848e-01
0.3440	2.0483989e-01
0.3450	2.0549178e-01
0.3460	2.0614416e-01
0.3470	2.0679702e-01
0.3480	2.0745036e-01
0.3490	2.0810419e-01
0.3500	2.0875850e-01
0.3510	2.0941329e-01
0.3520	2.1006857e-01
0.3530	2.1072433e-01
0.3540	2.1138057e-01
0.3550	2.1203730e-01
0.3560	2.1269451e-01
0.3570	2.1335221e-01
0.3580	2.1401039e-01
0.3590	2.1466906e-01
0.3600	2.1532821e-01
0.3610	2.1598785e-01
0.3620	2.1664797e-01
0.3630	2.1730858e-01
0.3640	2.1796967e-01
0.3650	2.1863125e-01
0.3660	2.1929332e-01
0.3670	2.1995587e-01
0.3680	2.2061891e-01
0.3690	2.2128244e-01
0.3700	2.2194646e-01
0.3710	2.2261097e-01
0.3720	2.2327596e-01
0.3730	2.2394144e-01
0.3740	2.2460741e-01
0.3750	2.2527388e-01
0.3760	2.2594083e-01
