# Time (a.u.)	Order parameter |r|
0.2270	8.1442722e-02
0.2280	8.1871313e-02
0.2290	8.2300653e-02
0.2300	8.2730742e-02
0.2310	8.3161578e-02
0.2320	8.3593158e-02
0.2330	8.4025481e-02
0.2340	8.4458546e-02
0.2350	8.4892351e-02
0.2360	8.5326895e-02
0.2370	8.5762177e-02
0.2380	8.6198195e-02
0.2390	8.6634948e-02
0.2400	8.7072435e-02
0.2410	8.7510655e-02
0.2420	8.7949606e-02
0.2430	8.8389288e-02
0.2440	8.8829699e-02
0.2450	8.9270838e-02
0.2460	8.9712705e-02
0.2470	9.0155299e-02
0.2480	9.0598619e-02
0.2490	9.1042664e-02
0.2500	9.1487433e-02
0.2510	9.1932926e-02
0.2520	9.2379142e-02
0.2530	9.2826080e-02
0.2540	9.3273741e-02
0.2550	9.3722123e-02
0.2560	9.4171226e-02
0.2570	9.4621049e-02
0.2580	9.5071593e-02
0.2590	9.5522857e-02
0.2600	9.5974841e-02
0.2610	9.6427545e-02
0.2620	9.6880967e-02
0.2630	9.7335110e-02
0.2640	9.7789971e-02
0.2650	9.8245552e-02
0.2660	9.8701852e-02
0.2670	9.9158872e-02
0.2680	9.9616612e-02
0.2690	1.0007507e-01
0.2700	1.0053425e-01
0.2710	1.0099415e-01
0.2720	1.0145477e-01
0.2730	1.0191611e-01
0.2740	1.0237817e-01
0.2750	1.0284096e-01
0.2760	1.0330446e-01
0.2770	1.0376869e-01
0.2780	1.0423365e-01
0.2790	1.0469933e-01
0.2800	1.0516573e-01
0.2810	1.0563286e-01
0.2820	1.0610071e-01
0.2830	1.0656929e-01
0.2840	1.0703860e-01
0.2850	1.0750864e-01
0.2860	1.0797941e-01
0.2870	1.0845091e-01
0.2880	1.0892314e-01
0.2890	1.0939611e-01
0.2900	1.0986980e-01
0.2910	1.1034424e-01
0.2920	1.1081941e-01
0.2930	1.1129532e-01
0.2940	1.1177197e-01
0.2950	1.1224935e-01
0.2960	1.1272748e-01
0.2970	1.1320636e-01
0.2980	1.1368597e-01
0.2990	1.1416634e-01
0.3000	1.1464745e-01
0.3010	1.1512930e-01
0.3020	1.1561191e-01
0.3030	1.1609528e-01
0.3040	1.1657939e-01
0.3050	1.1706426e-01
0.3060	1.1754989e-01
0.3070	1.1803628e-01
0.3080	1.1852342e-01
0.3090	1.1901133e-01
0.3100	1.1950001e-01
0.3110	1.1998945e-01
0.3120	1.2047965e-01
0.3130	1.2097063e-01
0.3140	1.2146238e-01
0.3150	1.2195490e-01
0.3160	1.2244820e-01
0.3170	1.2294228e-01
0.3180	1.2343713e-01
0.3190	1.2393277e-01
0.3200	1.2442919e-01
0.3210	1.2492639e-01
0.3220	1.2542439e-01
0.3230	1.2592317e-01
0.3240	1.2642275e-01
0.3250	1.2692312e-01
0.3260	1.2742428e-01
0.3270	1.2792625e-01
0.3280	1.2842902e-01
0.3290	1.2893258e-01
0.3300	1.2943696e-01
0.3310	1.2994214e-01
0.3320	1.3044813e-01
0.3330	1.3095494e-01
0.3340	1.3146255e-01
0.3350	1.3197099e-01
0.3360	1.3248024e-01
0.3370	1.3299032e-01
0.3380	1.3350122e-01
0.3390	1.3401294e-01
0.3400	1.3452549e-01
0.3410	1.3503888e-01
0.3420	1.3555309e-01
0.3430	1.3606814e-01
0.3440	1.3658403e-01
0.3450	1.3710076e-01
0.3460	1.3761833e-01
0.3470	1.3813674e-01
0.3480	1.3865600e-01
0.3490	1.3917611e-01
0.3500	1.3969707e-01
0.3510	1.4021889e-01
0.3520	1.4074156e-01
0.3530	1.4126509e-01
0.3540	1.4178947e-01
0.3550	1.4231472e-01
0.3560	1.4284084e-01
0.3570	1.4336782e-01
0.3580	1.4389567e-01
0.3590	1.4442440e-01
0.3600	1.4495399e-01
0.3610	1.4548447e-01
0.3620	1.4601582e-01
0.3630	1.4654805e-01
0.3640	1.4708116e-01
0.3650	1.4761515e-01
0.3660	1.4815004e-01
0.3670	1.4868581e-01
0.3680	1.4922247e-01
0.3690	1.4976002e-01
0.3700	1.5029846e-01
0.3710	1.5083781e-01
0.3720	1.5137805e-01
0.3730	1.5191919e-01
0.3740	1.5246123e-01
0.3750	1.5300417e-01
0.3760	1.5354802e-01
0.3770	1.5409277e-01
0.3780	1.5463844e-01
0.3790	1.5518501e-01
0.3800	1.5573250e-01
0.3810	1.5628090e-01
0.3820	1.5683021e-01
0.3830	1.5738044e-01
0.3840	1.5793159e-01
0.3850	1.5848365e-01
0.3860	1.5903664e-01
0.3870	1.5959054e-01
0.3880	1.6014538e-01
0.3890	1.6070113e-01
0.3900	1.6125781e-01
0.3910	1.6181542e-01
0.3920	1.6237395e-01
0.3930	1.6293341e-01
0.3940	1.6349380e-01
0.3950	1.6405513e-01
0.3960	1.6461738e-01
0.3970	1.6518056e-01
0.3980	1.6574468e-01
0.3990	1.6630973e-01
0.4000	1.6687572e-01
0.4010	1.6744264e-01
0.4020	1.6801050e-01
0.4030	1.6857929e-01
0.4040	1.6914902e-01
0.4050	1.6971968e-01
0.4060	1.7029128e-01
0.4070	1.7086382e-01
0.4080	1.7143730e-01
0.4090	1.7201171e-01
0.4100	1.7258706e-01
0.4110	1.7316335e-01
0.4120	1.7374058e-01
0.4130	1.7431874e-01
0.4140	1.7489784e-01
0.4150	1.7547788e-01
0.4160	1.7605885e-01
0.4170	1.7664076e-01
0.4180	1.7722361e-01
0.4190	1.7780739e-01
0.4200	1.7839210e-01
0.4210	1.7897775e-01
