# Time (a.u.)	Order parameter |r|
0.0000	9.7814502e-01
0.1000	9.7770208e-01
0.2000	9.7726861e-01
0.3000	9.7684374e-01
0.4000	9.7642664e-01
0.5000	9.7601647e-01
0.6000	9.7561243e-01
0.7000	9.7521373e-01
0.8000	9.7481961e-01
0.9000	9.7442930e-01
1.0000	9.7404207e-01
1.1000	9.7365718e-01
1.2000	9.7327392e-01
1.3000	9.7289155e-01
1.4000	9.7250935e-01
1.5000	9.7212659e-01
1.6000	9.7174252e-01
1.7000	9.7135638e-01
1.8000	9.7096738e-01
1.9000	9.7057469e-01
2.0000	9.7017748e-01
2.1000	9.6977482e-01
2.2000	9.6936577e-01
2.3000	9.6894930e-01
2.4000	9.6852432e-01
2.5000	9.6808964e-01
2.6000	9.6764396e-01
2.7000	9.6718587e-01
2.8000	9.6671379e-01
2.9000	9.6622600e-01
3.0000	9.6572056e-01
3.1000	9.6519528e-01
3.2000	9.6464771e-01
3.3000	9.6407506e-01
3.4000	9.6347413e-01
3.5000	9.6284124e-01
3.6000	9.6217216e-01
3.7000	9.6146192e-01
3.8000	9.6070472e-01
3.9000	9.5989374e-01
4.0000	9.5902086e-01
4.1000	9.5807641e-01
4.2000	9.5704880e-01
4.3000	9.5592405e-01
4.4000	9.5468524e-01
4.5000	9.5331184e-01
4.6000	9.5177895e-01
4.7000	9.5005641e-01
4.8000	9.4810800e-01
4.9000	9.4589083e-01
5.0000	9.4335546e-01
5.1000	9.4044752e-01
5.2000	9.3711216e-01
5.3000	9.3330347e-01
5.4000	9.2900174e-01
5.5000	9.2424202e-01
5.6000	9.1915792e-01
5.7000	9.1404367e-01
5.8000	9.0941897e-01
5.9000	9.0599100e-01
6.0000	9.0438675e-01
6.1000	9.0501306e-01
6.2000	9.0822406e-01
6.3000	9.1404943e-01
6.4000	9.2185910e-01
6.5000	9.3079791e-01
6.6000	9.4014665e-01
6.7000	9.4933102e-01
6.8000	9.5787137e-01
6.9000	9.6537548e-01
