# Time (a.u.)	Order parameter |r|
0.0000	9.7347685e-01
0.1000	9.7357736e-01
0.2000	9.7351468e-01
0.3000	9.7328510e-01
0.4000	9.7291862e-01
0.5000	9.7246376e-01
0.6000	9.7196155e-01
0.7000	9.7143764e-01
0.8000	9.7090565e-01
0.9000	9.7037202e-01
1.0000	9.6983941e-01
1.1000	9.6930856e-01
1.2000	9.6877923e-01
1.3000	9.6825074e-01
1.4000	9.6772213e-01
1.5000	9.6719229e-01
1.6000	9.6666005e-01
1.7000	9.6612415e-01
1.8000	9.6558325e-01
1.9000	9.6503597e-01
2.0000	9.6448082e-01
2.1000	9.6391625e-01
2.2000	9.6334059e-01
2.3000	9.6275203e-01
2.4000	9.6214864e-01
2.5000	9.6152830e-01
2.6000	9.6088869e-01
2.7000	9.6022725e-01
2.8000	9.5954114e-01
2.9000	9.5882719e-01
3.0000	9.5808185e-01
3.1000	9.5730109e-01
3.2000	9.5648033e-01
3.3000	9.5561436e-01
3.4000	9.5469717e-01
3.5000	9.5372183e-01
3.6000	9.5268025e-01
3.7000	9.5156301e-01
3.8000	9.5035898e-01
3.9000	9.4905503e-01
4.0000	9.4763548e-01
4.1000	9.4608155e-01
4.2000	9.4437055e-01
4.3000	9.4247496e-01
4.4000	9.4036110e-01
4.5000	9.3798755e-01
4.6000	9.3530302e-01
4.7000	9.3224369e-01
4.8000	9.2872962e-01
4.9000	9.2466039e-01
5.0000	9.1990930e-01
5.1000	9.1431624e-01
5.2000	9.0767877e-01
5.3000	8.9974121e-01
5.4000	8.9018185e-01
5.5000	8.7859840e-01
5.6000	8.6449329e-01
5.7000	8.4726218e-01
5.8000	8.2619404e-01
5.9000	8.0050137e-01
6.0000	7.6942288e-01
6.1000	7.3248755e-01
6.2000	6.9006366e-01
6.3000	6.4409303e-01
6.4000	5.9839782e-01
6.5000	5.5810161e-01
6.6000	5.2856423e-01
6.7000	5.1480509e-01
6.8000	5.2061994e-01
6.9000	5.4602583e-01
7.0000	5.8683075e-01
7.1000	6.3731965e-01
7.2000	6.9208597e-01
7.3000	7.4658301e-01
7.4000	7.9610578e-01
7.5000	8.3734676e-01
7.6000	8.7023792e-01
7.7000	8.9633207e-01
7.8000	9.1688282e-01
7.9000	9.3267909e-01
8.0000	9.4446014e-01
8.1000	9.5309407e-01
8.2000	9.5939541e-01
8.3000	9.6394849e-01
8.4000	9.6720734e-01
8.5000	9.6954806e-01
8.6000	9.7120631e-01
8.7000	9.7231160e-01
8.8000	9.7298466e-01
8.9000	9.7336126e-01
9.0000	9.7354479e-01
9.1000	9.7356842e-01
9.2000	9.7342407e-01
9.3000	9.7312300e-01
9.4000	9.7270801e-01
9.5000	9.7222622e-01
9.6000	9.7171124e-01
9.7000	9.7118229e-01
9.8000	9.7064899e-01
9.9000	9.7011567e-01
10.0000	9.6958389e-01
10.1000	9.6905383e-01
10.2000	9.6852502e-01
10.3000	9.6799660e-01
