# Time (a.u.)	Order parameter |r|
0.0000	9.7497772e-01
0.1000	9.7451553e-01
0.2000	9.7401688e-01
0.3000	9.7347634e-01
0.4000	9.7288754e-01
0.5000	9.7224291e-01
0.6000	9.7153349e-01
0.7000	9.7074863e-01
0.8000	9.6987574e-01
0.9000	9.6889998e-01
1.0000	9.6780393e-01
1.1000	9.6656742e-01
1.2000	9.6516742e-01
1.3000	9.6357817e-01
1.4000	9.6177153e-01
1.5000	9.5971732e-01
1.6000	9.5738314e-01
1.7000	9.5473188e-01
1.8000	9.5171443e-01
1.9000	9.4825262e-01
2.0000	9.4420683e-01
2.1000	9.3932252e-01
2.2000	9.3315417e-01
2.3000	9.2497432e-01
2.4000	9.1368588e-01
2.5000	8.9775323e-01
2.6000	8.7515112e-01
2.7000	8.4337552e-01
2.8000	7.9972819e-01
2.9000	7.4201895e-01
3.0000	6.6937946e-01
3.1000	5.8283388e-01
3.2000	4.8586125e-01
3.3000	3.8697634e-01
3.4000	3.0678900e-01
3.5000	2.8297680e-01
3.6000	3.3428429e-01
3.7000	4.2761973e-01
3.8000	5.2840253e-01
3.9000	6.2159732e-01
4.0000	7.0268627e-01
4.1000	7.7089139e-01
4.2000	8.2669854e-01
4.3000	8.7098453e-01
4.4000	9.0470551e-01
4.5000	9.2923675e-01
4.6000	9.4657819e-01
4.7000	9.5887147e-01
4.8000	9.6774289e-01
4.9000	9.7407701e-01
5.0000	9.7844024e-01
5.1000	9.8138152e-01
5.2000	9.8342826e-01
5.3000	9.8496694e-01
5.4000	9.8604283e-01
5.5000	9.8658340e-01
5.6000	9.8671664e-01
5.7000	9.8662367e-01
5.8000	9.8642083e-01
5.9000	9.8616907e-01
6.0000	9.8589908e-01
6.1000	9.8562609e-01
6.2000	9.8535733e-01
6.3000	9.8509587e-01
6.4000	9.8484263e-01
6.5000	9.8459745e-01
6.6000	9.8435970e-01
6.7000	9.8412857e-01
6.8000	9.8390321e-01
6.9000	9.8368283e-01
7.0000	9.8346671e-01
7.1000	9.8325420e-01
7.2000	9.8304471e-01
7.3000	9.8283770e-01
7.4000	9.8263269e-01
7.5000	9.8242924e-01
7.6000	9.8222690e-01
7.7000	9.8202528e-01
7.8000	9.8182396e-01
7.9000	9.8162256e-01
8.0000	9.8142068e-01
8.1000	9.8121791e-01
8.2000	9.8101385e-01
8.3000	9.8080807e-01
8.4000	9.8060013e-01
8.5000	9.8038956e-01
8.6000	9.8017588e-01
8.7000	9.7995857e-01
8.8000	9.7973707e-01
8.9000	9.7951077e-01
9.0000	9.7927903e-01
9.1000	9.7904114e-01
9.2000	9.7879632e-01
9.3000	9.7854370e-01
9.4000	9.7828235e-01
9.5000	9.7801119e-01
9.6000	9.7772905e-01
9.7000	9.7743459e-01
9.8000	9.7712631e-01
9.9000	9.7680248e-01
10.0000	9.7646115e-01
10.1000	9.7610008e-01
10.2000	9.7571667e-01
10.3000	9.7530793e-01
10.4000	9.7487037e-01
10.5000	9.7439991e-01
10.6000	9.7389178e-01
10.7000	9.7334034e-01
10.8000	9.7273894e-01
10.9000	9.7207970e-01
11.0000	9.7135329e-01
11.1000	9.7054862e-01
11.2000	9.6965261e-01
11.3000	9.6864979e-01
11.4000	9.6752213e-01
11.5000	9.6624876e-01
11.6000	9.6480599e-01
11.7000	9.6316745e-01
11.8000	9.6130448e-01
11.9000	9.5918645e-01
12.0000	9.5678016e-01
12.1000	9.5404661e-01
12.2000	9.5093175e-01
12.3000	9.4734638e-01
12.4000	9.4312917e-01
12.5000	9.3798765e-01
12.6000	9.3141745e-01
12.7000	9.2261022e-01
12.8000	9.1036957e-01
12.9000	8.9304694e-01
13.0000	8.6849624e-01
13.1000	8.3412494e-01
13.2000	7.8728028e-01
13.3000	7.2601906e-01
13.4000	6.4988609e-01
13.5000	5.6041431e-01
13.6000	4.6191118e-01
13.7000	3.6495429e-01
13.8000	2.9441879e-01
13.9000	2.8902715e-01
14.0000	3.5440675e-01
14.1000	4.5185374e-01
14.2000	5.5162862e-01
14.3000	6.4213214e-01
14.4000	7.2014503e-01
14.5000	7.8531934e-01
14.6000	8.3829152e-01
14.7000	8.7995972e-01
14.8000	9.1133481e-01
14.9000	9.3394979e-01
15.0000	9.4990000e-01
15.1000	9.6125815e-01
15.2000	9.6946405e-01
15.3000	9.7527805e-01
15.4000	9.7925157e-01
15.5000	9.8193337e-01
15.6000	9.8383390e-01
15.7000	9.8527093e-01
15.8000	9.8621897e-01
15.9000	9.8664475e-01
16.0000	9.8670944e-01
16.1000	9.8658222e-01
16.2000	9.8636363e-01
16.3000	9.8610548e-01
16.4000	9.8583377e-01
16.5000	9.8556133e-01
16.6000	9.8529415e-01
16.7000	9.8503462e-01
16.8000	9.8478335e-01
16.9000	9.8454001e-01
17.0000	9.8430392e-01
17.1000	9.8407424e-01
17.2000	9.8385014e-01
17.3000	9.8363084e-01
17.4000	9.8341564e-01
17.5000	9.8320390e-01
17.6000	9.8299505e-01
17.7000	9.8278856e-01
17.8000	9.8258397e-01
17.9000	9.8238082e-01
18.0000	9.8217869e-01
18.1000	9.8197717e-01
18.2000	9.8177587e-01
18.3000	9.8157439e-01
18.4000	9.8137234e-01
18.5000	9.8116930e-01
18.6000	9.8096486e-01
18.7000	9.8075861e-01
18.8000	9.8055008e-01
18.9000	9.8033882e-01
19.0000	9.8012432e-01
19.1000	9.7990606e-01
19.2000	9.7968347e-01
19.3000	9.7945593e-01
19.4000	9.7922279e-01
19.5000	9.7898331e-01
19.6000	9.7873671e-01
19.7000	9.7848210e-01
19.8000	9.7821850e-01
19.9000	9.7794484e-01
20.0000	9.7765988e-01
20.1000	9.7736227e-01
20.2000	9.7705043e-01
20.3000	9.7672261e-01
20.4000	9.7637678e-01
20.5000	9.7601062e-01
20.6000	9.7562145e-01
20.7000	9.7520616e-01
20.8000	9.7476114e-01
20.9000	9.7428215e-01
21.0000	9.7376421e-01
21.1000	9.7320148e-01
21.2000	9.7258703e-01
21.3000	9.7191266e-01
21.4000	9.7116863e-01
21.5000	9.7034342e-01
21.6000	9.6942339e-01
21.7000	9.6839249e-01
21.8000	9.6723202e-01
21.9000	9.6592045e-01
22.0000	9.6443340e-01
22.1000	9.6274393e-01
22.2000	9.6082288e-01
22.3000	9.5863915e-01
22.4000	9.5615858e-01
22.5000	9.5333973e-01
22.6000	9.5012252e-01
22.7000	9.4640465e-01
22.8000	9.4199971e-01
22.9000	9.3657263e-01
23.0000	9.2955482e-01
23.1000	9.2005220e-01
23.2000	9.0676551e-01
23.3000	8.8793036e-01
23.4000	8.6128149e-01
23.5000	8.2415931e-01
23.6000	7.7400279e-01
23.7000	7.0916142e-01
23.8000	6.2962072e-01
23.9000	5.3745441e-01
