# Time (a.u.)	Order parameter |r|
0.0000	9.8523879e-01
0.1000	9.8518857e-01
0.2000	9.8513806e-01
0.3000	9.8508723e-01
0.4000	9.8503606e-01
0.5000	9.8498452e-01
0.6000	9.8493260e-01
0.7000	9.8488026e-01
0.8000	9.8482748e-01
0.9000	9.8477423e-01
1.0000	9.8472048e-01
1.1000	9.8466619e-01
1.2000	9.8461135e-01
1.3000	9.8455592e-01
1.4000	9.8449986e-01
1.5000	9.8444314e-01
1.6000	9.8438573e-01
1.7000	9.8432758e-01
1.8000	9.8426867e-01
1.9000	9.8420894e-01
2.0000	9.8414836e-01
2.1000	9.8408688e-01
2.2000	9.8402446e-01
2.3000	9.8396104e-01
2.4000	9.8389658e-01
2.5000	9.8383103e-01
2.6000	9.8376432e-01
2.7000	9.8369640e-01
2.8000	9.8362720e-01
2.9000	9.8355667e-01
3.0000	9.8348472e-01
3.1000	9.8341129e-01
3.2000	9.8333630e-01
3.3000	9.8325966e-01
3.4000	9.8318130e-01
3.5000	9.8310111e-01
3.6000	9.8301899e-01
3.7000	9.8293485e-01
3.8000	9.8284856e-01
3.9000	9.8276001e-01
4.0000	9.8266908e-01
4.1000	9.8257561e-01
4.2000	9.8247947e-01
4.3000	9.8238050e-01
4.4000	9.8227853e-01
4.5000	9.8217337e-01
4.6000	9.8206483e-01
4.7000	9.8195269e-01
4.8000	9.8183673e-01
4.9000	9.8171669e-01
5.0000	9.8159231e-01
5.1000	9.8146329e-01
5.2000	9.8132931e-01
5.3000	9.8119002e-01
5.4000	9.8104505e-01
5.5000	9.8089397e-01
5.6000	9.8073633e-01
5.7000	9.8057162e-01
5.8000	9.8039929e-01
5.9000	9.8021873e-01
6.0000	9.8002925e-01
6.1000	9.7983012e-01
6.2000	9.7962049e-01
6.3000	9.7939943e-01
6.4000	9.7916590e-01
6.5000	9.7891873e-01
6.6000	9.7865660e-01
6.7000	9.7837804e-01
6.8000	9.7808137e-01
6.9000	9.7776468e-01
7.0000	9.7742582e-01
7.1000	9.7706231e-01
7.2000	9.7667133e-01
7.3000	9.7624960e-01
7.4000	9.7579340e-01
7.5000	9.7529836e-01
7.6000	9.7475947e-01
7.7000	9.7417086e-01
7.8000	9.7352572e-01
7.9000	9.7281608e-01
8.0000	9.7203263e-01
8.1000	9.7116451e-01
8.2000	9.7019906e-01
8.3000	9.6912161e-01
8.4000	9.6791526e-01
8.5000	9.6656081e-01
8.6000	9.6503681e-01
8.7000	9.6331998e-01
8.8000	9.6138603e-01
8.9000	9.5921120e-01
9.0000	9.5677445e-01
9.1000	9.5406044e-01
9.2000	9.5106282e-01
9.3000	9.4778698e-01
9.4000	9.4425104e-01
9.5000	9.4048319e-01
9.6000	9.3651331e-01
9.7000	9.3235598e-01
9.8000	9.2798161e-01
9.9000	9.2327196e-01
10.0000	9.1795854e-01
10.1000	9.1154771e-01
10.2000	9.0324696e-01
10.3000	8.9191925e-01
10.4000	8.7610204e-01
10.5000	8.5412064e-01
10.6000	8.2428019e-01
10.7000	7.8503357e-01
10.8000	7.3503267e-01
10.9000	6.7328973e-01
11.0000	5.9981905e-01
11.1000	5.1636202e-01
11.2000	4.2659404e-01
11.3000	3.3720863e-01
11.4000	2.6318547e-01
11.5000	2.3631297e-01
11.6000	2.8032781e-01
11.7000	3.7067381e-01
11.8000	4.7525184e-01
11.9000	5.7696936e-01
12.0000	6.6778122e-01
12.1000	7.4437818e-01
12.2000	8.0611302e-01
12.3000	8.5375708e-01
12.4000	8.8904948e-01
12.5000	9.1484545e-01
12.6000	9.3426901e-01
12.7000	9.4937583e-01
12.8000	9.6130244e-01
12.9000	9.7073367e-01
13.0000	9.7781993e-01
13.1000	9.8271288e-01
13.2000	9.8584243e-01
13.3000	9.8772505e-01
13.4000	9.8881234e-01
13.5000	9.8938420e-01
13.6000	9.8964558e-01
13.7000	9.8977797e-01
13.8000	9.8990693e-01
13.9000	9.9007158e-01
14.0000	9.9022712e-01
14.1000	9.9031092e-01
14.2000	9.9030752e-01
14.3000	9.9024098e-01
14.4000	9.9014072e-01
14.5000	9.9002654e-01
14.6000	9.8990888e-01
14.7000	9.8979251e-01
14.8000	9.8967932e-01
14.9000	9.8956987e-01
15.0000	9.8946416e-01
15.1000	9.8936199e-01
15.2000	9.8926308e-01
15.3000	9.8916717e-01
15.4000	9.8907404e-01
15.5000	9.8898346e-01
15.6000	9.8889527e-01
15.7000	9.8880930e-01
15.8000	9.8872543e-01
15.9000	9.8864352e-01
16.0000	9.8856349e-01
16.1000	9.8848521e-01
16.2000	9.8840862e-01
16.3000	9.8833362e-01
16.4000	9.8826014e-01
16.5000	9.8818810e-01
16.6000	9.8811745e-01
16.7000	9.8804811e-01
16.8000	9.8798003e-01
16.9000	9.8791314e-01
17.0000	9.8784739e-01
17.1000	9.8778273e-01
17.2000	9.8771911e-01
17.3000	9.8765648e-01
17.4000	9.8759479e-01
17.5000	9.8753400e-01
17.6000	9.8747407e-01
17.7000	9.8741495e-01
17.8000	9.8735661e-01
17.9000	9.8729901e-01
18.0000	9.8724211e-01
18.1000	9.8718587e-01
18.2000	9.8713026e-01
18.3000	9.8707526e-01
18.4000	9.8702082e-01
18.5000	9.8696692e-01
18.6000	9.8691352e-01
18.7000	9.8686061e-01
18.8000	9.8680814e-01
18.9000	9.8675610e-01
19.0000	9.8670445e-01
19.1000	9.8665318e-01
19.2000	9.8660225e-01
19.3000	9.8655164e-01
19.4000	9.8650134e-01
19.5000	9.8645130e-01
19.6000	9.8640152e-01
19.7000	9.8635197e-01
19.8000	9.8630263e-01
19.9000	9.8625347e-01
20.0000	9.8620448e-01
20.1000	9.8615563e-01
20.2000	9.8610690e-01
20.3000	9.8605828e-01
20.4000	9.8600974e-01
20.5000	9.8596126e-01
20.6000	9.8591281e-01
20.7000	9.8586440e-01
20.8000	9.8581598e-01
20.9000	9.8576754e-01
21.0000	9.8571906e-01
21.1000	9.8567052e-01
21.2000	9.8562190e-01
21.3000	9.8557319e-01
21.4000	9.8552435e-01
21.5000	9.8547537e-01
21.6000	9.8542622e-01
21.7000	9.8537689e-01
21.8000	9.8532736e-01
21.9000	9.8527760e-01
22.0000	9.8522758e-01
22.1000	9.8517730e-01
22.2000	9.8512671e-01
22.3000	9.8507581e-01
22.4000	9.8502456e-01
22.5000	9.8497294e-01
22.6000	9.8492093e-01
22.7000	9.8486850e-01
22.8000	9.8481561e-01
22.9000	9.8476225e-01
23.0000	9.8470838e-01
23.1000	9.8465398e-01
23.2000	9.8459901e-01
23.3000	9.8454343e-01
23.4000	9.8448723e-01
23.5000	9.8443036e-01
23.6000	9.8437279e-01
23.7000	9.8431447e-01
23.8000	9.8425538e-01
23.9000	9.8419546e-01
24.0000	9.8413469e-01
24.1000	9.8407300e-01
24.2000	9.8401036e-01
24.3000	9.8394672e-01
24.4000	9.8388202e-01
24.5000	9.8381621e-01
24.6000	9.8374923e-01
24.7000	9.8368103e-01
24.8000	9.8361154e-01
24.9000	9.8354070e-01
25.0000	9.8346842e-01
25.1000	9.8339465e-01
25.2000	9.8331930e-01
25.3000	9.8324229e-01
25.4000	9.8316352e-01
25.5000	9.8308291e-01
25.6000	9.8300035e-01
25.7000	9.8291573e-01
25.8000	9.8282895e-01
25.9000	9.8273988e-01
26.0000	9.8264839e-01
26.1000	9.8255434e-01
26.2000	9.8245758e-01
26.3000	9.8235796e-01
26.4000	9.8225529e-01
26.5000	9.8214939e-01
26.6000	9.8204006e-01
26.7000	9.8192709e-01
26.8000	9.8181024e-01
26.9000	9.8168925e-01
27.0000	9.8156386e-01
27.1000	9.8143376e-01
27.2000	9.8129862e-01
27.3000	9.8115810e-01
27.4000	9.8101180e-01
27.5000	9.8085929e-01
27.6000	9.8070011e-01
27.7000	9.8053375e-01
27.8000	9.8035963e-01
27.9000	9.8017714e-01
28.0000	9.7998558e-01
28.1000	9.7978417e-01
28.2000	9.7957207e-01
28.3000	9.7934831e-01
28.4000	9.7911183e-01
28.5000	9.7886144e-01
28.6000	9.7859577e-01
28.7000	9.7831331e-01
28.8000	9.7801234e-01
28.9000	9.7769089e-01
29.0000	9.7734674e-01
29.1000	9.7697734e-01
29.2000	9.7657978e-01
29.3000	9.7615069e-01
29.4000	9.7568620e-01
29.5000	9.7518181e-01
29.6000	9.7463234e-01
29.7000	9.7403172e-01
29.8000	9.7337288e-01
29.9000	9.7264759e-01
30.0000	9.7184620e-01
30.1000	9.7095747e-01
30.2000	9.6996832e-01
30.3000	9.6886359e-01
30.4000	9.6762586e-01
30.5000	9.6623541e-01
30.6000	9.6467035e-01
30.7000	9.6290707e-01
30.8000	9.6092125e-01
30.9000	9.5868950e-01
31.0000	9.5619179e-01
31.1000	9.5341451e-01
31.2000	9.5035373e-01
31.3000	9.4701770e-01
31.4000	9.4342719e-01
31.5000	9.3961176e-01
31.6000	9.3559969e-01
31.7000	9.3139870e-01
31.8000	9.2696383e-01
31.9000	9.2214917e-01
32.0000	9.1664263e-01
32.1000	9.0988966e-01
32.2000	9.0102293e-01
32.3000	8.8882792e-01
32.4000	8.7178123e-01
32.5000	8.4818561e-01
32.6000	8.1636843e-01
32.7000	7.7482552e-01
32.8000	7.2226195e-01
32.9000	6.5784111e-01
33.0000	5.8191793e-01
33.1000	4.9665651e-01
33.2000	4.0622756e-01
33.3000	3.1849104e-01
33.4000	2.5166101e-01
33.5000	2.4019352e-01
33.6000	2.9789400e-01
33.7000	3.9364021e-01
33.8000	4.9863985e-01
33.9000	5.9840394e-01
34.0000	6.8620450e-01
34.1000	7.5946724e-01
34.2000	8.1794879e-01
34.3000	8.6264072e-01
34.4000	8.9552619e-01
34.5000	9.1964953e-01
34.6000	9.3797482e-01
34.7000	9.5228769e-01
34.8000	9.6361642e-01
34.9000	9.7252236e-01
35.0000	9.7909248e-01
35.1000	9.8354834e-01
35.2000	9.8635339e-01
35.3000	9.8802499e-01
35.4000	9.8897744e-01
35.5000	9.8946268e-01
35.6000	9.8968081e-01
35.7000	9.8980421e-01
35.8000	9.8994119e-01
35.9000	9.9010975e-01
36.0000	9.9025356e-01
36.1000	9.9031723e-01
36.2000	9.9029698e-01
36.3000	9.9022060e-01
36.4000	9.9011590e-01
36.5000	9.9000029e-01
36.6000	9.8988264e-01
36.7000	9.8976688e-01
36.8000	9.8965450e-01
36.9000	9.8954590e-01
37.0000	9.8944101e-01
37.1000	9.8933959e-01
37.2000	9.8924137e-01
37.3000	9.8914611e-01
37.4000	9.8905356e-01
37.5000	9.8896353e-01
37.6000	9.8887585e-01
37.7000	9.8879036e-01
37.8000	9.8870694e-01
37.9000	9.8862546e-01
38.0000	9.8854583e-01
38.1000	9.8846794e-01
38.2000	9.8839170e-01
38.3000	9.8831705e-01
38.4000	9.8824390e-01
38.5000	9.8817218e-01
38.6000	9.8810183e-01
38.7000	9.8803277e-01
38.8000	9.8796496e-01
38.9000	9.8789833e-01
39.0000	9.8783283e-01
39.1000	9.8776841e-01
39.2000	9.8770502e-01
39.3000	9.8764260e-01
39.4000	9.8758112e-01
39.5000	9.8752052e-01
39.6000	9.8746078e-01
39.7000	9.8740184e-01
39.8000	9.8734366e-01
39.9000	9.8728622e-01
40.0000	9.8722947e-01
40.1000	9.8717338e-01
40.2000	9.8711791e-01
40.3000	9.8706303e-01
40.4000	9.8700872e-01
40.5000	9.8695493e-01
40.6000	9.8690164e-01
40.7000	9.8684883e-01
40.8000	9.8679646e-01
40.9000	9.8674451e-01
41.0000	9.8669295e-01
41.1000	9.8664176e-01
41.2000	9.8659090e-01
41.3000	9.8654037e-01
41.4000	9.8649012e-01
41.5000	9.8644015e-01
41.6000	9.8639042e-01
41.7000	9.8634092e-01
41.8000	9.8629162e-01
41.9000	9.8624250e-01
42.0000	9.8619354e-01
42.1000	9.8614472e-01
42.2000	9.8609602e-01
42.3000	9.8604741e-01
42.4000	9.8599889e-01
42.5000	9.8595042e-01
42.6000	9.8590198e-01
42.7000	9.8585356e-01
42.8000	9.8580514e-01
42.9000	9.8575670e-01
43.0000	9.8570821e-01
43.1000	9.8565965e-01
43.2000	9.8561102e-01
43.3000	9.8556227e-01
43.4000	9.8551340e-01
43.5000	9.8546439e-01
43.6000	9.8541520e-01
43.7000	9.8536583e-01
43.8000	9.8531625e-01
43.9000	9.8526643e-01
44.0000	9.8521636e-01
44.1000	9.8516601e-01
44.2000	9.8511536e-01
44.3000	9.8506438e-01
44.4000	9.8501305e-01
44.5000	9.8496134e-01
44.6000	9.8490924e-01
44.7000	9.8485670e-01
44.8000	9.8480372e-01
44.9000	9.8475024e-01
45.0000	9.8469626e-01
45.1000	9.8464173e-01
45.2000	9.8458663e-01
45.3000	9.8453092e-01
45.4000	9.8447457e-01
45.5000	9.8441754e-01
45.6000	9.8435981e-01
45.7000	9.8430132e-01
45.8000	9.8424205e-01
45.9000	9.8418195e-01
46.0000	9.8412097e-01
46.1000	9.8405907e-01
46.2000	9.8399621e-01
46.3000	9.8393234e-01
46.4000	9.8386739e-01
46.5000	9.8380133e-01
46.6000	9.8373408e-01
46.7000	9.8366560e-01
46.8000	9.8359581e-01
46.9000	9.8352466e-01
47.0000	9.8345206e-01
47.1000	9.8337794e-01
47.2000	9.8330222e-01
47.3000	9.8322482e-01
47.4000	9.8314565e-01
47.5000	9.8306461e-01
47.6000	9.8298160e-01
47.7000	9.8289651e-01
47.8000	9.8280923e-01
47.9000	9.8271963e-01
48.0000	9.8262758e-01
48.1000	9.8253294e-01
48.2000	9.8243555e-01
48.3000	9.8233526e-01
48.4000	9.8223188e-01
48.5000	9.8212524e-01
48.6000	9.8201511e-01
48.7000	9.8190129e-01
48.8000	9.8178354e-01
48.9000	9.8166160e-01
49.0000	9.8153518e-01
49.1000	9.8140398e-01
49.2000	9.8126767e-01
49.3000	9.8112589e-01
49.4000	9.8097824e-01
49.5000	9.8082428e-01
49.6000	9.8066354e-01
49.7000	9.8049550e-01
49.8000	9.8031956e-01
49.9000	9.8013510e-01
50.0000	9.7994140e-01
50.1000	9.7973768e-01
50.2000	9.7952306e-01
50.3000	9.7929656e-01
50.4000	9.7905707e-01
50.5000	9.7880338e-01
50.6000	9.7853410e-01
50.7000	9.7824766e-01
50.8000	9.7794228e-01
50.9000	9.7761596e-01
51.0000	9.7726640e-01
51.1000	9.7689097e-01
51.2000	9.7648666e-01
51.3000	9.7605000e-01
51.4000	9.7557700e-01
51.5000	9.7506301e-01
51.6000	9.7450266e-01
51.7000	9.7388966e-01
51.8000	9.7321672e-01
51.9000	9.7247530e-01
52.0000	9.7165541e-01
52.1000	9.7074543e-01
52.2000	9.6973181e-01
52.3000	9.6859892e-01
52.4000	9.6732882e-01
52.5000	9.6590129e-01
52.6000	9.6429398e-01
52.7000	9.6248302e-01
52.8000	9.6044414e-01
52.9000	9.5815446e-01
53.0000	9.5559510e-01
53.1000	9.5275434e-01
53.2000	9.4963082e-01
53.3000	9.4623565e-01
53.4000	9.4259209e-01
53.5000	9.3873056e-01
53.6000	9.3467682e-01
53.7000	9.3043011e-01
53.8000	9.2592770e-01
53.9000	9.2099272e-01
54.0000	9.1526561e-01
54.1000	9.0812724e-01
54.2000	8.9863363e-01
54.3000	8.8549453e-01
54.4000	8.6713259e-01
54.5000	8.4183838e-01
54.6000	8.0796923e-01
54.7000	7.6406453e-01
54.8000	7.0889313e-01
54.9000	6.4180922e-01
55.0000	5.6354227e-01
55.1000	4.7668032e-01
55.2000	3.8595913e-01
55.3000	3.0073025e-01
55.4000	2.4297062e-01
55.5000	2.4779550e-01
55.6000	3.1730645e-01
55.7000	4.1701058e-01
55.8000	5.2173747e-01
55.9000	6.1922420e-01
56.0000	7.0389126e-01
56.1000	7.7381227e-01
56.2000	8.2909102e-01
56.3000	8.7092821e-01
56.4000	9.0156479e-01
56.5000	9.2416941e-01
56.6000	9.4148249e-01
56.7000	9.5505173e-01
56.8000	9.6581182e-01
56.9000	9.7419298e-01
57.0000	9.8025827e-01
57.1000	9.8430095e-01
57.2000	9.8680810e-01
57.3000	9.8828973e-01
57.4000	9.8911926e-01
57.5000	9.8952788e-01
57.6000	9.8971155e-01
57.7000	9.8983152e-01
57.8000	9.8997737e-01
57.9000	9.9014666e-01
58.0000	9.9027574e-01
58.1000	9.9031922e-01
58.2000	9.9028364e-01
58.3000	9.9019886e-01
58.4000	9.9009056e-01
58.5000	9.8997395e-01
58.6000	9.8985650e-01
58.7000	9.8974142e-01
58.8000	9.8962988e-01
58.9000	9.8952212e-01
59.0000	9.8941803e-01
59.1000	9.8931735e-01
59.2000	9.8921981e-01
59.3000	9.8912518e-01
59.4000	9.8903321e-01
59.5000	9.8894372e-01
59.6000	9.8885654e-01
59.7000	9.8877153e-01
59.8000	9.8868855e-01
59.9000	9.8860749e-01
60.0000	9.8852825e-01
60.1000	9.8845074e-01
60.2000	9.8837487e-01
60.3000	9.8830056e-01
60.4000	9.8822774e-01
60.5000	9.8815633e-01
60.6000	9.8808627e-01
60.7000	9.8801750e-01
60.8000	9.8794996e-01
60.9000	9.8788358e-01
61.0000	9.8781833e-01
61.1000	9.8775414e-01
61.2000	9.8769097e-01
61.3000	9.8762877e-01
61.4000	9.8756749e-01
61.5000	9.8750709e-01
61.6000	9.8744752e-01
61.7000	9.8738876e-01
61.8000	9.8733075e-01
61.9000	9.8727347e-01
62.0000	9.8721687e-01
62.1000	9.8716092e-01
62.2000	9.8710558e-01
62.3000	9.8705083e-01
62.4000	9.8699664e-01
62.5000	9.8694297e-01
62.6000	9.8688979e-01
62.7000	9.8683708e-01
62.8000	9.8678481e-01
62.9000	9.8673294e-01
63.0000	9.8668147e-01
63.1000	9.8663035e-01
63.2000	9.8657957e-01
63.3000	9.8652910e-01
