# Time (a.u.)	Order parameter |r|
0.0000	9.7408224e-01
0.1000	9.7466959e-01
0.2000	9.7431005e-01
0.3000	9.7329845e-01
0.4000	9.7185316e-01
0.5000	9.7011767e-01
0.6000	9.6817700e-01
0.7000	9.6607315e-01
0.8000	9.6381517e-01
0.9000	9.6138446e-01
1.0000	9.5873630e-01
1.1000	9.5579833e-01
1.2000	9.5246654e-01
1.3000	9.4859958e-01
1.4000	9.4401347e-01
1.5000	9.3848044e-01
1.6000	9.3173984e-01
1.7000	9.2353393e-01
1.8000	9.1368665e-01
1.9000	9.0224304e-01
2.0000	8.8968328e-01
2.1000	8.7720536e-01
2.2000	8.6678952e-01
2.3000	8.6044656e-01
2.4000	8.5956600e-01
2.5000	8.6486463e-01
2.6000	8.7606903e-01
2.7000	8.9148988e-01
2.8000	9.0836441e-01
2.9000	9.2460076e-01
3.0000	9.3919613e-01
3.1000	9.5151143e-01
3.2000	9.6117810e-01
3.3000	9.6806317e-01
3.4000	9.7235474e-01
3.5000	9.7459111e-01
3.6000	9.7534300e-01
3.7000	9.7507606e-01
3.8000	9.7413051e-01
3.9000	9.7273626e-01
4.0000	9.7104159e-01
4.1000	9.6913704e-01
4.2000	9.6707125e-01
4.3000	9.6486061e-01
4.4000	9.6249457e-01
4.5000	9.5993759e-01
4.6000	9.5712827e-01
4.7000	9.5397597e-01
4.8000	9.5035560e-01
4.9000	9.4610167e-01
5.0000	9.4100464e-01
5.1000	9.3481535e-01
5.2000	9.2726824e-01
5.3000	9.1813925e-01
5.4000	9.0735748e-01
5.5000	8.9518568e-01
5.6000	8.8248045e-01
5.7000	8.7092674e-01
5.8000	8.6265522e-01
5.9000	8.5934037e-01
6.0000	8.6201142e-01
6.1000	8.7086670e-01
6.2000	8.8484993e-01
6.3000	9.0143266e-01
6.4000	9.1793062e-01
6.5000	9.3289206e-01
6.6000	9.4578777e-01
6.7000	9.5644234e-01
6.8000	9.6465070e-01
6.9000	9.7023503e-01
7.0000	9.7347428e-01
7.1000	9.7492818e-01
7.2000	9.7513003e-01
7.3000	9.7449251e-01
7.4000	9.7330155e-01
7.5000	9.7174387e-01
7.6000	9.6993638e-01
7.7000	9.6794657e-01
7.8000	9.6580530e-01
7.9000	9.6351413e-01
8.0000	9.6104884e-01
8.1000	9.5835984e-01
8.2000	9.5536988e-01
8.3000	9.5196962e-01
8.4000	9.4801170e-01
8.5000	9.4330569e-01
8.6000	9.3761803e-01
8.7000	9.3068556e-01
8.8000	9.2225619e-01
8.9000	9.1217531e-01
9.0000	9.0053503e-01
9.1000	8.8789988e-01
9.2000	8.7558966e-01
9.3000	8.6565443e-01
9.4000	8.6003547e-01
9.5000	8.6003474e-01
9.6000	8.6625170e-01
9.7000	8.7822615e-01
9.8000	8.9401385e-01
9.9000	9.1074312e-01
10.0000	9.2638569e-01
10.1000	9.4009295e-01
10.2000	9.5159563e-01
10.3000	9.6080206e-01
10.4000	9.6759653e-01
10.5000	9.7204588e-01
10.6000	9.7445910e-01
10.7000	9.7528126e-01
10.8000	9.7500125e-01
10.9000	9.7401072e-01
11.0000	9.7256835e-01
11.1000	9.7083220e-01
11.2000	9.6889365e-01
11.3000	9.6679890e-01
11.4000	9.6456094e-01
11.5000	9.6216559e-01
11.6000	9.5957352e-01
11.7000	9.5671918e-01
11.8000	9.5350721e-01
11.9000	9.4980699e-01
12.0000	9.4544682e-01
12.1000	9.4021094e-01
12.2000	9.3384586e-01
12.3000	9.2608738e-01
12.4000	9.1672502e-01
12.5000	9.0572260e-01
12.6000	8.9340962e-01
12.7000	8.8075146e-01
12.8000	8.6954420e-01
12.9000	8.6190212e-01
13.0000	8.5940847e-01
13.1000	8.6299959e-01
13.2000	8.7273023e-01
13.3000	8.8733999e-01
13.4000	9.0417680e-01
13.5000	9.2070675e-01
13.6000	9.3562128e-01
13.7000	9.4834906e-01
13.8000	9.5861615e-01
13.9000	9.6624055e-01
14.0000	9.7123232e-01
14.1000	9.7401844e-01
14.2000	9.7516751e-01
14.3000	9.7517366e-01
14.4000	9.7441153e-01
14.5000	9.7314025e-01
14.6000	9.7152950e-01
14.7000	9.6968524e-01
14.8000	9.6766759e-01
14.9000	9.6550200e-01
15.0000	9.6318572e-01
15.1000	9.6069063e-01
15.2000	9.5796320e-01
15.3000	9.5492183e-01
15.4000	9.5145206e-01
15.5000	9.4740065e-01
15.6000	9.4257084e-01
15.7000	9.3672362e-01
15.8000	9.2959406e-01
15.9000	9.2093737e-01
16.0000	9.1062320e-01
16.1000	8.9879490e-01
16.2000	8.8610690e-01
16.3000	8.7400122e-01
16.4000	8.6457681e-01
16.5000	8.5969332e-01
16.6000	8.6056462e-01
16.7000	8.6766659e-01
16.8000	8.8035257e-01
16.9000	8.9646608e-01
17.0000	9.1315138e-01
17.1000	9.2856172e-01
17.2000	9.4194387e-01
17.3000	9.5303697e-01
17.4000	9.6170138e-01
17.5000	9.6783096e-01
17.6000	9.7168309e-01
17.7000	9.7377473e-01
17.8000	9.7454584e-01
17.9000	9.7433552e-01
18.0000	9.7343013e-01
18.1000	9.7205537e-01
18.2000	9.7036671e-01
18.3000	9.6845922e-01
