# Time (a.u.)	Order parameter |r|
22.7000	9.8045290e-01
22.8000	9.8004479e-01
22.9000	9.7960277e-01
23.0000	9.7912162e-01
23.1000	9.7859485e-01
23.2000	9.7801456e-01
23.3000	9.7737124e-01
23.4000	9.7665363e-01
23.5000	9.7584868e-01
23.6000	9.7494172e-01
23.7000	9.7391698e-01
23.8000	9.7275878e-01
23.9000	9.7145353e-01
24.0000	9.6999259e-01
24.1000	9.6837584e-01
24.2000	9.6661466e-01
24.3000	9.6473238e-01
24.4000	9.6275890e-01
24.5000	9.6071600e-01
24.6000	9.5859015e-01
24.7000	9.5629105e-01
24.8000	9.5359730e-01
24.9000	9.5009620e-01
25.0000	9.4513147e-01
25.1000	9.3776955e-01
25.2000	9.2676033e-01
25.3000	9.1056994e-01
25.4000	8.8805118e-01
25.5000	8.6010535e-01
25.6000	8.3037460e-01
25.7000	8.0247155e-01
25.8000	7.7762998e-01
25.9000	7.5585133e-01
26.0000	7.3753138e-01
26.1000	7.2378821e-01
26.2000	7.1606504e-01
26.3000	7.1554523e-01
26.4000	7.2266672e-01
26.5000	7.3741371e-01
26.6000	7.5931714e-01
26.7000	7.8679389e-01
26.8000	8.1750101e-01
26.9000	8.4913472e-01
27.0000	8.7947045e-01
27.1000	9.0635445e-01
27.2000	9.2822699e-01
27.3000	9.4478787e-01
27.4000	9.5675273e-01
27.5000	9.6503733e-01
27.6000	9.7080567e-01
27.7000	9.7510885e-01
27.8000	9.7832119e-01
27.9000	9.8049083e-01
28.0000	9.8182250e-01
28.1000	9.8259385e-01
28.2000	9.8301597e-01
28.3000	9.8322131e-01
28.4000	9.8328877e-01
28.5000	9.8326483e-01
28.6000	9.8317695e-01
28.7000	9.8304172e-01
28.8000	9.8286938e-01
28.9000	9.8266646e-01
29.0000	9.8243714e-01
29.1000	9.8218398e-01
29.2000	9.8190836e-01
29.3000	9.8161071e-01
29.4000	9.8129061e-01
29.5000	9.8094680e-01
29.6000	9.8057726e-01
29.7000	9.8017909e-01
29.8000	9.7974846e-01
29.9000	9.7928050e-01
30.0000	9.7876914e-01
30.1000	9.7820696e-01
30.2000	9.7758498e-01
30.3000	9.7689253e-01
30.4000	9.7611711e-01
30.5000	9.7524453e-01
30.6000	9.7425929e-01
30.7000	9.7314551e-01
30.8000	9.7188864e-01
30.9000	9.7047811e-01
31.0000	9.6891066e-01
31.1000	9.6719377e-01
31.2000	9.6534718e-01
31.3000	9.6339976e-01
31.4000	9.6137819e-01
31.5000	9.5928409e-01
31.6000	9.5705716e-01
31.7000	9.5452451e-01
31.8000	9.5134116e-01
31.9000	9.4693348e-01
32.0000	9.4045988e-01
32.1000	9.3077728e-01
32.2000	9.1641721e-01
32.3000	8.9596567e-01
32.4000	8.6947149e-01
32.5000	8.3983658e-01
32.6000	8.1109749e-01
32.7000	7.8525787e-01
32.8000	7.6249197e-01
32.9000	7.4297058e-01
33.0000	7.2760866e-01
33.1000	7.1780034e-01
33.2000	7.1488562e-01
33.3000	7.1954923e-01
33.4000	7.3186630e-01
33.5000	7.5158835e-01
33.6000	7.7751718e-01
33.7000	8.0744993e-01
33.8000	8.3902718e-01
33.9000	8.7002406e-01
34.0000	8.9822654e-01
34.1000	9.2180913e-01
34.2000	9.4002160e-01
34.3000	9.5336474e-01
34.4000	9.6271647e-01
34.5000	9.6915521e-01
34.6000	9.7385234e-01
34.7000	9.7740879e-01
34.8000	9.7989993e-01
34.9000	9.8146920e-01
35.0000	9.8239294e-01
35.1000	9.8290929e-01
35.2000	9.8317347e-01
35.3000	9.8327885e-01
35.4000	9.8328051e-01
35.5000	9.8321092e-01
35.6000	9.8308951e-01
35.7000	9.8292821e-01
35.8000	9.8273455e-01
35.9000	9.8251335e-01
36.0000	9.8226763e-01
36.1000	9.8199912e-01
36.2000	9.8170854e-01
36.3000	9.8139573e-01
36.4000	9.8105971e-01
36.5000	9.8069869e-01
36.6000	9.8031007e-01
36.7000	9.7989032e-01
36.8000	9.7943492e-01
36.9000	9.7893822e-01
37.0000	9.7839323e-01
37.1000	9.7779150e-01
37.2000	9.7712291e-01
37.3000	9.7637556e-01
37.4000	9.7553576e-01
37.5000	9.7458838e-01
37.6000	9.7351749e-01
37.7000	9.7230790e-01
37.8000	9.7094741e-01
37.9000	9.6943002e-01
38.0000	9.6775948e-01
38.1000	9.6595162e-01
38.2000	9.6403317e-01
38.3000	9.6203339e-01
38.4000	9.5996525e-01
38.5000	9.5779318e-01
38.6000	9.5538662e-01
38.7000	9.5246238e-01
38.8000	9.4852544e-01
38.9000	9.4282322e-01
39.0000	9.3431441e-01
39.1000	9.2162784e-01
39.2000	9.0323331e-01
39.3000	8.7850331e-01
39.4000	8.4941184e-01
39.5000	8.2003680e-01
39.6000	7.9320005e-01
39.7000	7.6945922e-01
39.8000	7.4883356e-01
39.9000	7.3199994e-01
40.0000	7.2024994e-01
40.1000	7.1501025e-01
40.2000	7.1721882e-01
40.3000	7.2708831e-01
40.4000	7.4450644e-01
40.5000	7.6865209e-01
40.6000	7.9756624e-01
40.7000	8.2886090e-01
40.8000	8.6028754e-01
40.9000	8.8961558e-01
41.0000	9.1482758e-01
41.1000	9.3475380e-01
41.2000	9.4956482e-01
41.3000	9.6009454e-01
41.4000	9.6733120e-01
41.5000	9.7248350e-01
41.6000	9.7638537e-01
41.7000	9.7921315e-01
41.8000	9.8105004e-01
41.9000	9.8215085e-01
42.0000	9.8277716e-01
42.1000	9.8310959e-01
42.2000	9.8325843e-01
42.3000	9.8328896e-01
42.4000	9.8323961e-01
42.5000	9.8313324e-01
42.6000	9.8298374e-01
42.7000	9.8279982e-01
42.8000	9.8258705e-01
42.9000	9.8234894e-01
43.0000	9.8208761e-01
43.1000	9.8180409e-01
43.2000	9.8149848e-01
43.3000	9.8117005e-01
43.4000	9.8081729e-01
43.5000	9.8043785e-01
43.6000	9.8002852e-01
43.7000	9.7958511e-01
43.8000	9.7910234e-01
43.9000	9.7857368e-01
44.0000	9.7799116e-01
44.1000	9.7734522e-01
44.2000	9.7662452e-01
44.3000	9.7581595e-01
44.4000	9.7490477e-01
44.5000	9.7387520e-01
44.6000	9.7271161e-01
44.7000	9.7140052e-01
44.8000	9.6993355e-01
44.9000	9.6831098e-01
45.0000	9.6654467e-01
45.1000	9.6465834e-01
45.2000	9.6268192e-01
45.3000	9.6063644e-01
45.4000	9.5850627e-01
45.5000	9.5619717e-01
45.6000	9.5348153e-01
45.7000	9.4993817e-01
45.8000	9.4490073e-01
45.9000	9.3742442e-01
46.0000	9.2624613e-01
46.1000	9.0982771e-01
46.2000	8.8706564e-01
46.3000	8.5897193e-01
46.4000	8.2925750e-01
46.5000	8.0146333e-01
46.6000	7.7674005e-01
46.7000	7.5508132e-01
46.8000	7.3691237e-01
46.9000	7.2337261e-01
47.0000	7.1590726e-01
47.1000	7.1567664e-01
47.2000	7.2309144e-01
47.3000	7.3812644e-01
47.4000	7.6027998e-01
47.5000	7.8792505e-01
47.6000	8.1870870e-01
47.7000	8.5033400e-01
47.8000	8.8057552e-01
47.9000	9.0729038e-01
48.0000	9.2895579e-01
48.1000	9.4532480e-01
48.2000	9.5713109e-01
48.3000	9.6529632e-01
48.4000	9.7099261e-01
48.5000	9.7525153e-01
48.6000	9.7842275e-01
48.7000	9.8055539e-01
48.8000	9.8186071e-01
48.9000	9.8261537e-01
49.0000	9.8302718e-01
49.1000	9.8322605e-01
49.2000	9.8328932e-01
49.3000	9.8326251e-01
49.4000	9.8317257e-01
49.5000	9.8303575e-01
49.6000	9.8286214e-01
49.7000	9.8265815e-01
49.8000	9.8242788e-01
49.9000	9.8217384e-01
50.0000	9.8189738e-01
50.1000	9.8159888e-01
50.2000	9.8127790e-01
50.3000	9.8093315e-01
50.4000	9.8056257e-01
50.5000	9.8016323e-01
50.6000	9.7973127e-01
50.7000	9.7926177e-01
50.8000	9.7874861e-01
50.9000	9.7818432e-01
51.0000	9.7755985e-01
51.1000	9.7686446e-01
51.2000	9.7608560e-01
51.3000	9.7520900e-01
51.4000	9.7421912e-01
51.5000	9.7310012e-01
51.6000	9.7183753e-01
51.7000	9.7042099e-01
51.8000	9.6884761e-01
51.9000	9.6712532e-01
52.0000	9.6527431e-01
52.1000	9.6332363e-01
52.2000	9.6129951e-01
52.3000	9.5920199e-01
52.4000	9.5696744e-01
52.5000	9.5441752e-01
52.6000	9.5119949e-01
52.7000	9.4673002e-01
52.8000	9.4015673e-01
52.9000	9.3032399e-01
53.0000	9.1575334e-01
53.1000	8.9505391e-01
53.2000	8.6836798e-01
53.3000	8.3869877e-01
53.4000	8.1005082e-01
53.5000	7.8433081e-01
53.6000	7.6168165e-01
53.7000	7.4229812e-01
53.8000	7.2712156e-01
53.9000	7.1755489e-01
54.0000	7.1492300e-01
54.1000	7.1988006e-01
54.2000	7.3248848e-01
54.3000	7.5247828e-01
54.4000	7.7860466e-01
54.5000	8.0864253e-01
54.6000	8.4023841e-01
54.7000	8.7116849e-01
54.8000	8.9922325e-01
54.9000	9.2260494e-01
55.0000	9.4061640e-01
55.1000	9.5379031e-01
55.2000	9.6300855e-01
55.3000	9.6936071e-01
55.4000	9.7400815e-01
55.5000	9.7752355e-01
55.6000	9.7997534e-01
55.7000	9.8151466e-01
55.8000	9.8241897e-01
55.9000	9.8292329e-01
56.0000	9.8317998e-01
56.1000	9.8328056e-01
56.2000	9.8327900e-01
56.3000	9.8320713e-01
56.4000	9.8308401e-01
56.5000	9.8292136e-01
56.6000	9.8272657e-01
56.7000	9.8250438e-01
56.8000	9.8225776e-01
56.9000	9.8198840e-01
57.0000	9.8169698e-01
57.1000	9.8138331e-01
57.2000	9.8104636e-01
57.3000	9.8068434e-01
57.4000	9.8029460e-01
57.5000	9.7987358e-01
57.6000	9.7941671e-01
57.7000	9.7891830e-01
57.8000	9.7837130e-01
57.9000	9.7776721e-01
58.0000	9.7709584e-01
58.1000	9.7634521e-01
58.2000	9.7550159e-01
58.3000	9.7454976e-01
58.4000	9.7347384e-01
58.5000	9.7225867e-01
58.6000	9.7089223e-01
58.7000	9.6936884e-01
58.8000	9.6769267e-01
58.9000	9.6588004e-01
59.0000	9.6395797e-01
59.1000	9.6195552e-01
59.2000	9.5988450e-01
59.3000	9.5770664e-01
59.4000	9.5528665e-01
59.5000	9.5233429e-01
59.6000	9.4834538e-01
59.7000	9.4255687e-01
59.8000	9.3391559e-01
59.9000	9.2103786e-01
60.0000	9.0240083e-01
60.1000	8.7744731e-01
60.2000	8.4826672e-01
60.3000	8.1895390e-01
60.4000	7.9223511e-01
60.5000	7.6861077e-01
60.6000	7.4811266e-01
60.7000	7.3144732e-01
60.8000	7.1992124e-01
60.9000	7.1495445e-01
61.0000	7.1745563e-01
61.1000	7.2761781e-01
61.2000	7.4531598e-01
61.3000	7.6968613e-01
61.4000	7.9873497e-01
61.5000	8.3007529e-01
61.6000	8.6146281e-01
61.7000	8.9066731e-01
61.8000	9.1569062e-01
61.9000	9.3541004e-01
62.0000	9.5004107e-01
62.1000	9.6042476e-01
62.2000	9.6755926e-01
62.3000	9.7265307e-01
62.4000	9.7651338e-01
62.5000	9.7930045e-01
62.6000	9.8110386e-01
62.7000	9.8218214e-01
62.8000	9.8279441e-01
62.9000	9.8311814e-01
63.0000	9.8326146e-01
63.1000	9.8328836e-01
63.2000	9.8323648e-01
63.3000	9.8312824e-01
63.4000	9.8297729e-01
63.5000	9.8279218e-01
63.6000	9.8257838e-01
63.7000	9.8233936e-01
63.8000	9.8207717e-01
63.9000	9.8179280e-01
64.0000	9.8148633e-01
64.1000	9.8115701e-01
64.2000	9.8080327e-01
64.3000	9.8042276e-01
64.4000	9.8001221e-01
64.5000	9.7956740e-01
64.6000	9.7908300e-01
64.7000	9.7855243e-01
64.8000	9.7796767e-01
64.9000	9.7731909e-01
65.0000	9.7659528e-01
65.1000	9.7578306e-01
65.2000	9.7486765e-01
65.3000	9.7383323e-01
65.4000	9.7266422e-01
65.5000	9.7134727e-01
65.6000	9.6987428e-01
65.7000	9.6824591e-01
65.8000	9.6647450e-01
65.9000	9.6458417e-01
66.0000	9.6260485e-01
66.1000	9.6055676e-01
66.2000	9.5842214e-01
66.3000	9.5610272e-01
66.4000	9.5336457e-01
66.5000	9.4977798e-01
66.6000	9.4466646e-01
66.7000	9.3707392e-01
66.8000	9.2572424e-01
66.9000	9.0907592e-01
67.0000	8.8607187e-01
67.1000	8.5783619e-01
67.2000	8.2814359e-01
67.3000	8.0045975e-01
67.4000	7.7585453e-01
67.5000	7.5431633e-01
67.6000	7.3630010e-01
67.7000	7.2296593e-01
67.8000	7.1576019e-01
67.9000	7.1581929e-01
68.0000	7.2352737e-01
68.1000	7.3884977e-01
68.2000	7.6125097e-01
68.3000	7.8906078e-01
68.4000	8.1991763e-01
68.5000	8.5153126e-01
68.6000	8.8167535e-01
68.7000	9.0821873e-01
68.8000	9.2967670e-01
68.9000	9.4585506e-01
69.0000	9.5750406e-01
69.1000	9.6555170e-01
69.2000	9.7117756e-01
69.3000	9.7539266e-01
69.4000	9.7852276e-01
69.5000	9.8061874e-01
69.6000	9.8189813e-01
69.7000	9.8263640e-01
69.8000	9.8303809e-01
69.9000	9.8323060e-01
70.0000	9.8328973e-01
70.1000	9.8326010e-01
70.2000	9.8316812e-01
70.3000	9.8302973e-01
70.4000	9.8285486e-01
70.5000	9.8264980e-01
70.6000	9.8241858e-01
70.7000	9.8216366e-01
70.8000	9.8188636e-01
70.9000	9.8158702e-01
71.0000	9.8126515e-01
71.1000	9.8091946e-01
71.2000	9.8054784e-01
71.3000	9.8014733e-01
71.4000	9.7971403e-01
71.5000	9.7924297e-01
71.6000	9.7872801e-01
71.7000	9.7816159e-01
71.8000	9.7753462e-01
71.9000	9.7683628e-01
72.0000	9.7605394e-01
72.1000	9.7517330e-01
72.2000	9.7417877e-01
72.3000	9.7305452e-01
72.4000	9.7178620e-01
72.5000	9.7036365e-01
72.6000	9.6878435e-01
72.7000	9.6705668e-01
72.8000	9.6520129e-01
72.9000	9.6324739e-01
73.0000	9.6122074e-01
73.1000	9.5911969e-01
73.2000	9.5687727e-01
73.3000	9.5430959e-01
73.4000	9.5105602e-01
73.5000	9.4652352e-01
73.6000	9.3984885e-01
73.7000	9.2986377e-01
73.8000	9.1508032e-01
73.9000	8.9413297e-01
74.0000	8.6725994e-01
74.1000	8.3756280e-01
74.2000	8.0900868e-01
74.3000	7.8340822e-01
74.4000	7.6087599e-01
74.5000	7.4163176e-01
74.6000	7.2664269e-01
74.7000	7.1731969e-01
74.8000	7.1497158e-01
74.9000	7.2022211e-01
75.0000	7.3312161e-01
75.1000	7.5337734e-01
75.2000	7.7969788e-01
75.3000	8.0983740e-01
75.4000	8.4144868e-01
75.5000	8.7230864e-01
75.6000	9.0021298e-01
75.7000	9.2339270e-01
75.8000	9.4120411e-01
75.9000	9.5421005e-01
76.0000	9.6329640e-01
76.1000	9.6956381e-01
76.2000	9.7416238e-01
76.3000	9.7763672e-01
76.4000	9.8004940e-01
76.5000	9.8155919e-01
76.6000	9.8244442e-01
76.7000	9.8293693e-01
76.8000	9.8318626e-01
76.9000	9.8328212e-01
77.0000	9.8327739e-01
77.1000	9.8320327e-01
77.2000	9.8307846e-01
77.3000	9.8291446e-01
77.4000	9.8271855e-01
77.5000	9.8249538e-01
77.6000	9.8224786e-01
77.7000	9.8197765e-01
77.8000	9.8168539e-01
77.9000	9.8137085e-01
78.0000	9.8103298e-01
78.1000	9.8066996e-01
78.2000	9.8027909e-01
78.3000	9.7985678e-01
78.4000	9.7939844e-01
78.5000	9.7889831e-01
78.6000	9.7834929e-01
78.7000	9.7774283e-01
78.8000	9.7706865e-01
78.9000	9.7631473e-01
79.0000	9.7546725e-01
79.1000	9.7451097e-01
79.2000	9.7342999e-01
79.3000	9.7220922e-01
79.4000	9.7083683e-01
